date,user,name,text,retweet,favorite,location,Post
2022-04-05 06:53:48+00:00,YassTribune,Yass Tribune,Queanbeyan man dies as region records 408 new COVID-19 cases https://t.co/gwQRXRDSmJ,0,0,"Yass, NSW, Australia",Queanbeyan man dies as region records 408 new COVID-19 cases https://t.co/gwQRXRDSmJ
2022-04-05 06:53:48+00:00,naughtevenwrong,Not even wrong,"""Growing public anger at draconian lockdown measures.""

#Covid_19 #covid19 #lockdown 
https://t.co/2XTaqgkaxi",0,0,,"""Growing public anger at draconian lockdown measures.""

#Covid_19 #covid19 #lockdown 
https://t.co/2XTaqgkaxi"
2022-04-05 06:53:48+00:00,cvngnews,#CoronaVirusUpdate #CoronaVirusNigeria,Nigeria’s candidate COVID-19 vaccine ready in 18 months https://t.co/mKdwq6bNsa,0,0,,Nigeria’s candidate COVID-19 vaccine ready in 18 months https://t.co/mKdwq6bNsa
2022-04-05 06:53:47+00:00,Gougeahaha,小明,Extremely boring March during the epidemic situation of covid-19. https://t.co/7pu8hPMbwN,0,0,Shanghai,Extremely boring March during the epidemic situation of covid-19. https://t.co/7pu8hPMbwN
2022-04-05 06:53:42+00:00,TheArticleTrunk,TheArticleTrunk,"Smart TV Industry Forecast Growth Drivers, Opportunities, Key Players, Future Plans and Regional Forecast 2027 | CO… https://t.co/HYy6667ZqW",0,0,"New York, New York","Smart TV Industry Forecast Growth Drivers, Opportunities, Key Players, Future Plans and Regional Forecast 2027 | CO… https://t.co/HYy6667ZqW"
2022-04-05 06:53:41+00:00,wnglucroft,William Noah Glucroft,"With mandatory isolation for COVID-19 ending in Germany as of May 1, a good time to remember that also other kinds… https://t.co/Q0XfqU9I0s",0,1,"Berlin, Germany","With mandatory isolation for COVID-19 ending in Germany as of May 1, a good time to remember that also other kinds… https://t.co/Q0XfqU9I0s"
2022-04-05 06:53:41+00:00,pnewsheadlines,Politics Headlines,Covid-19 alert in China: More than 25 million people were PCR tested in one day in Shanghai https://t.co/hxYPyOriNe,0,0,,Covid-19 alert in China: More than 25 million people were PCR tested in one day in Shanghai https://t.co/hxYPyOriNe
2022-04-05 06:53:41+00:00,TheBeat_HK,The Beat Hong Kong,Three passengers aboard Korean Air flight KE607 tested positive for COVID-19 upon arrival in Hong Kong on April 2. https://t.co/7tMdt0BJVK,0,0,Hong Kong,Three passengers aboard Korean Air flight KE607 tested positive for COVID-19 upon arrival in Hong Kong on April 2. https://t.co/7tMdt0BJVK
2022-04-05 06:53:36+00:00,unperro_mas,El Látigo,@YanezFarid @Arath_Alt @oscar_mezar Covid 19,0,0,,@YanezFarid @Arath_Alt @oscar_mezar Covid 19
2022-04-05 06:53:35+00:00,michelleko2d,Michelle Ko,Schools of Medicine &amp; Public Health: Remember your Anti-Racism statements from 2020? Anti-racism includes using the… https://t.co/uiwtif1GkP,1,0,"Davis, CA",Schools of Medicine &amp; Public Health: Remember your Anti-Racism statements from 2020? Anti-racism includes using the… https://t.co/uiwtif1GkP
2022-04-05 06:53:26+00:00,LangfordIEC,Mary Langford,Grim reading but necessary information for everyone to consider.  https://t.co/FEaQVvOJD5,0,0,London,Grim reading but necessary information for everyone to consider.  https://t.co/FEaQVvOJD5
2022-04-05 06:53:23+00:00,TheRACP,The RACP,Associate Professor Julia Clark joins a panel discussion COVID-19 A global game changer at #RACPCongress 2022. Join… https://t.co/xbSGxJBteq,0,0,Australasia,Associate Professor Julia Clark joins a panel discussion COVID-19 A global game changer at #RACPCongress 2022. Join… https://t.co/xbSGxJBteq
2022-04-05 06:53:21+00:00,withazed,Keith J Fernandez,"Handy symptoms guide to allergies vs cold vs flu vs covid.

https://t.co/m2VZ9DUBsa 

#CovidOrAllergy",0,0,Amsterdam | Dubai | Mumbai,"Handy symptoms guide to allergies vs cold vs flu vs covid.

https://t.co/m2VZ9DUBsa 

#CovidOrAllergy"
2022-04-05 06:53:12+00:00,jingyuwood,jingyuwood,"Around 10,000 medical workers from several regions across China have arrived in #Shanghai in recent days to help th… https://t.co/nisXG9b3mw",0,0,,"Around 10,000 medical workers from several regions across China have arrived in #Shanghai in recent days to help th… https://t.co/nisXG9b3mw"
