title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
All the Prime Minister’s Men | Al Jazeera Investigations,https://www.youtube.com/watch?v=a6v_levbUN4,"{'channel_name': 'Al Jazeera English', 'channel_link': 'https://www.youtube.com/c/aljazeeraenglish'}",8.4M views,1 year ago,Undercover reporters with the I-Unit expose how a former street mafia claims to have captured a state. The brother of ...,True,CC,All the Prime Minister’s Men | Al Jazeera Investigations,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
BANGLADESH NATIONAL ELECTION 2018 DHAKA 15 - CHANNEL WORLD,https://www.youtube.com/watch?v=NkqdFc2hwbk,"{'channel_name': 'CHANNEL WORLD', 'channel_link': 'https://www.youtube.com/channel/UCtM9S2N_PBgi19Cb6wtD4WA'}",591 views,3 years ago,Welcome to the official CHANNEL WORLD YouTube channel.CHANNEL WORLD is a news oriented www.channelworld.tv ...,,,BANGLADESH NATIONAL ELECTION 2018 DHAKA 15 - CHANNEL WORLD,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
"Bangladesh National Parliament Election, Jan 5, 2014",https://www.youtube.com/watch?v=P1leIDNXi0U,"{'channel_name': 'Md. Morshed Alam', 'channel_link': 'https://www.youtube.com/c/itismorshedalam'}",5.3K views,8 years ago,"10th National Parliament Election-2014, Dhaka, Bangladesh.",,,"Bangladesh National Parliament Election, Jan 5, 2014",28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
নির্বাচনী রাজনীতিতে শেখ হাসিনার হ্যাটট্রিক বিজয় | Election 2018 Result | Bangla Latest News,https://www.youtube.com/watch?v=8bCezWkzyGA,"{'channel_name': 'Boishakhi Tv News', 'channel_link': 'https://www.youtube.com/c/BoishakhiTvNews'}",8.3K views,3 years ago,নির্বাচনী রাজনীতিতে শেখ হাসিনার হ্যাটট্রিক বিজয় | Election 2018 Result | Bangla ...,True,,নির্বাচনী রাজনীতিতে শেখ হাসিনার হ্যাটট্রিক বিজয় | Election 2018 Result | Bangla Latest News,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
My TV interview during national election in Bangladesh 2018 dec,https://www.youtube.com/watch?v=6Kk8Ql-gvFI,"{'channel_name': 'Ahmed Omar', 'channel_link': 'https://www.youtube.com/user/TheRomar727'}",9 views,3 years ago,,,4K,My TV interview during national election in Bangladesh 2018 dec,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Bangladesh national election 2014 ..11 am in Manikgonj,https://www.youtube.com/watch?v=5GSAr-jV0J0,"{'channel_name': 'Climate Channel A Global Television', 'channel_link': 'https://www.youtube.com/c/ClimateChannelGlobalTelevision'}",4.3K views,8 years ago,,,,Bangladesh national election 2014 ..11 am in Manikgonj,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
"Bangladesh Election: Police have arrested more than 10,500 opposition activists",https://www.youtube.com/watch?v=KVqUZlT6ZCw,"{'channel_name': 'Voice of America', 'channel_link': 'https://www.youtube.com/c/VOANews'}",9.3M views,3 years ago,"Bangladesh police have arrested more than 10500 opposition activists in a crackdown ahead of elections this week, opposition ...",True,,"Bangladesh Election: Police have arrested more than 10,500 opposition activists",28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Hasina wins Bangladesh elections as opposition rejects polls,https://www.youtube.com/watch?v=w1ny6a9LmWs,"{'channel_name': 'Al Jazeera English', 'channel_link': 'https://www.youtube.com/c/aljazeeraenglish'}",41K views,3 years ago,"The Bangladesh opposition front has rejected the ""farcical election"" and has demanded fresh polls ""under a non-partisan ...",True,,Hasina wins Bangladesh elections as opposition rejects polls,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
UN Secretary General criticizes on Bangladesh Election,https://www.youtube.com/watch?v=8VCPrN0T89E,"{'channel_name': 'Abidur Rahim', 'channel_link': 'https://www.youtube.com/c/AbidurRahimBhuiyan'}",484 views,3 years ago,"Representative of Bangladesh Permanent Mission to UN Masud Bin Momen Exchange views with the Journalist in NYC, ...",,,UN Secretary General criticizes on Bangladesh Election,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
Shaheen Gets CWC Record Figures! | Pakistan vs Bangladesh - Highlights | ICC Cricket World Cup 2019,https://www.youtube.com/watch?v=2q_V7KcQJJs,"{'channel_name': 'ICC', 'channel_link': 'https://www.youtube.com/c/ICC'}",21M views,2 years ago,"Watch full highlights of the Pakistan vs Bangladesh match at Lords, Game 43 of the 2019 Cricket World Cup. The home of all the ...",True,,Shaheen Gets CWC Record Figures! | Pakistan vs Bangladesh - Highlights | ICC Cricket World Cup 2019,28_05_2022-00_14_14-Bangladesh Upcoming National Election-partho.csv
