title,link,channel,views,time_published,snippet,verified_badge,extensions,file_path
"Shawn Michaels warns Roman Reigns about facing The Undertaker at WrestleMania: Raw, March 13, 2017",https://www.youtube.com/watch?v=BJI7nSJE1aM,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",7M views,5 years ago,"HBK is impressed with Roman Reigns' recent in-ring success, but he's skeptical about The Big Dog's chances against The ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Jhograte | ঝগড়াটে | Bangla Natok 2021 | Sayed Zaman Shawon | Sarika Saba | New Bangla Natok 2021,https://www.youtube.com/watch?v=xafjjZHOyUc,"{'channel_name': 'G Series Bangla Natok', 'channel_link': 'https://www.youtube.com/c/GSeriesBanglaNatokTelefilm'}",1.5M views,9 months ago,"Presenting a new romantic & comedy drama ""Jhograte"" (ঝগড়াটে), Written by Rajib Ahmed, Directed by Hasan Rezaul.",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Un huesped indeseable - La Oveja Shaun - Temporada 5 - Episodio completo [Shaun the Sheep Season 5],https://www.youtube.com/watch?v=y0fxCfTM2gs,"{'channel_name': 'La Oveja Shaun', 'channel_link': 'https://www.youtube.com/c/LaOvejaShaun'}",720K views,2 years ago,Los cerdos explulsan de la pocilga a uno de sus compañeros cuando este intenta defender a Timmy de uno de sus ataques.,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
FULL-LENGTH MATCH - Raw - The Undertaker and Batista vs. John Cena and Shawn Michaels,https://www.youtube.com/watch?v=rK-ezjh_tNA,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",12M views,8 years ago,Check out one of the biggest tag team matches in Raw history 6 days before WrestleMania 23.,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"WWE 2K22 Official Roster - All 170+ Superstars, Unlockables & Ratings!",https://www.youtube.com/watch?v=CpgTJYnZeew,"{'channel_name': 'ElementGames', 'channel_link': 'https://www.youtube.com/c/ElementGames'}",38K views,2 months ago,"All 170+ WWE Wrestlers for the upcoming WWE 2K22 game for PS5, PS4, Xbox one, Series X & PC have now been confirmed!",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Shawn Mendes - In My Blood (Live From The MTV VMAs / 2018),https://www.youtube.com/watch?v=OO5TTjk2DnY,"{'channel_name': 'Shawn Mendes', 'channel_link': 'https://www.youtube.com/channel/UCAvCL8hyXjSUHKEGuUPr1BA'}",10M views,3 years ago,Follow Shawn Mendes here: Twitter: https://twitter.com/shawnmendes Instagram: https://www.instagram.com/shawnmendes ...,True,CC,26_05_2022-03_10_39-shaonthe super star-partho.csv
"Raw and SmackDown parking lot brawl: Raw, November 21, 2005",https://www.youtube.com/watch?v=vx85Bh2Zzx0,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",11M views,2 years ago,The Superstars from Raw and SmackDown don't want to wait until Survivor Series; they're ready to fight outside the arena!,True,CC,26_05_2022-03_10_39-shaonthe super star-partho.csv
Shawn Michaels superkicks everyone in his path to prove he is controversial: Cyber Sunday 2006,https://www.youtube.com/watch?v=jzSBRQV1T40,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",5.2M views,4 years ago,Shawn Michaels goes crazy when Triple H tells him that Eric Bischoff doesn't think he's controversial. Get your first month of WWE ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Mike Tyson knocks out Shawn Michaels with a right hook: WrestleMania XIV,https://www.youtube.com/watch?v=yWGOir5a16Y,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",3.8M views,2 years ago,"Special Guest Enforcer Mike Tyson shows his allegiance to ""Stone Cold"" Steve Austin with a knockout punch to Shawn Michaels.",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
[Love in Flames of War] EP01 | Fall in Love with My Adopted Sister | Shawn Dou / Chen Duling | YOUKU,https://www.youtube.com/watch?v=9d-CDj0fLpo,"{'channel_name': 'YOUKU English', 'channel_link': 'https://www.youtube.com/channel/UCI70JGG0hJS306Q-hGWfB7Q'}",801K views,3 weeks ago,"[Love in Flames of War 良辰好景知几何] In the early part of the 20th Century, the Republic of China is struggling to establish itself, ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Shawn Michaels's Lifestyle ★ 2021,https://www.youtube.com/watch?v=SK95h73b50E,"{'channel_name': 'Amolipi', 'channel_link': 'https://www.youtube.com/c/Amolipi'}",482K views,11 months ago,Shawn Michaels American retired professional wrestler and actor Shawn Michaels was born Michael Shawn Hickenbottom on ...,,CC,26_05_2022-03_10_39-shaonthe super star-partho.csv
WWE Superstars swap their theme music: WWE Pop Question,https://www.youtube.com/watch?v=EkBstsbJOC8,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",636K views,1 year ago,"From Becky Lynch singing AJ Styles' theme song to Charlotte Flair's surprising pick, these Superstars reveal whose theme music ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Diljit Dosanjh: Born To Shine (Official Music Video) G.O.A.T,https://www.youtube.com/watch?v=dCmp56tSSmA,"{'channel_name': 'Diljit Dosanjh', 'channel_link': 'https://www.youtube.com/channel/UCZRdNleCgW-BGUJf-bbjzQg'}",185M views,1 year ago,Song: BORN TO SHINE Album: G.O.A.T. Singer: Diljit Dosanjh Lyricist - Amrit Maan Music - Desi Crew Mix & Master - Dense ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Shawn Michaels Testimony,https://www.youtube.com/watch?v=nsquMO7QreU,"{'channel_name': 'Vertical Church Films', 'channel_link': 'https://www.youtube.com/c/VerticalChurchFilms'}",1.5M views,5 years ago,"What is Shawn ""HBK"" Michaels doing in a faith-based film like #GavinStoneMovie? He's got an incredible story...",,,26_05_2022-03_10_39-shaonthe super star-partho.csv
10 Next Level & Funniest Oversells By WWE Wrestlers,https://www.youtube.com/watch?v=UwAe7rU8OZw,"{'channel_name': 'Wrestlelamia', 'channel_link': 'https://www.youtube.com/c/Wrestlelamia'}",6M views,1 year ago,Selling is great but these WWE wrestlers took it to the next level Follow Me: ▻twitter.com/wrestlelamia ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Shawn Mendes Watches Fan Covers On YouTube | Glamour,https://www.youtube.com/watch?v=s4gJIGJvrBo,"{'channel_name': 'Glamour', 'channel_link': 'https://www.youtube.com/c/glamour'}",26M views,4 years ago,"On this episode of ""You Sang My Song,"" Shawn Mendes watches YouTube fan covers of his songs ""In My Blood,"" ""Treat You ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"FULL MATCH: Goldberg vs. Shawn Michaels - World Heavyweight Title Match: Raw, October 20, 2003",https://www.youtube.com/watch?v=5Q4tsA3iZdI,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",4.2M views,1 year ago,Two WWE Hall of Famers collide in a once-in-a-lifetime match for the World Heavyweight Championship on Raw as Goldberg ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
I got destroyed by 20 chops at Shawn Spears and Tyler Breeze's wrestling school,https://www.youtube.com/watch?v=O6_ZJE5xsEE,"{'channel_name': 'Chris Van Vliet', 'channel_link': 'https://www.youtube.com/c/ChrisVanVliet'}",1.5M views,2 years ago,"To answer a few questions: Yes, this was my idea. Yes, I'm totally ok. It took about 6 days for the red marks to go away completely.",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Shawn Michaels has some fun impersonating Hulk Hogan on,https://www.youtube.com/watch?v=UZ-Sayfnhvg,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",1.3M views,10 years ago,"Shawn Michaels has some fun impersonating Hulk Hogan on Raw, before their match at SummerSlam: August 1, 2005 More ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"John Cena & The Undertaker vs. D-Generation X vs. Jeri-Show: Raw, November 16, 2009",https://www.youtube.com/watch?v=FtTqKeOfQek,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",116M views,8 years ago,"The world's most famous arena, Madison Square Garden, hosts a main event with six of WWE's biggest stars. WWE Champion ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
Tydus got in a FIGHT! (feat. FGTeeV),https://www.youtube.com/watch?v=MzcFwT39QBg,"{'channel_name': 'Trav and Cor', 'channel_link': 'https://www.youtube.com/c/TravandCor'}",12M views,11 months ago,Tydus and Shawn from FGTeev got into it a little bit...This is our trip to the Logan Paul vs. Floyd Mayweather boxing event in Miami ...,True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"Shawn Michaels and Triple H reform DX: Raw, June 12, 2006",https://www.youtube.com/watch?v=Xql2M677lzU,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",108K views,11 months ago,"The band gets back together as Shawn Michaels saves Triple H from The Spirit Squad's attack, setting the stage for D-Generation ...",True,CC,26_05_2022-03_10_39-shaonthe super star-partho.csv
DUCKTALES Treasure Challenge! GANG BEASTS vs. FGTEEV Hot Dog! Part 2 w/ Chase & Shawn,https://www.youtube.com/watch?v=bNj7sf3zjhE,"{'channel_name': 'FGTeeV', 'channel_link': 'https://www.youtube.com/c/fgteev'}",190M views,3 years ago,"ABOUT FGTEEV: FGTeeV is a Family Gaming Channel of 6 people. Dad is known as FGTEEV Duddy & Mom, well, we call her ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
"John Cena, Shawn Michaels & Triple H vs. Edge, Murdoch & Cade: Raw, Sept. 18, 2006",https://www.youtube.com/watch?v=KCAUd89080U,"{'channel_name': 'WWE', 'channel_link': 'https://www.youtube.com/c/WWE'}",3.4M views,4 years ago,"In a legendary pairing, John Cena teams up with Triple H & Shawn Michaels of D-Generation X to square off against Edge, Trevor ...",True,,26_05_2022-03_10_39-shaonthe super star-partho.csv
