title,link,channel,views,time_published,snippet,verified_badge,extensions,Post,file_path
Curing The Villains | Spider-Man: No Way Home,https://www.youtube.com/watch?v=HRVwQnl8XwI,"{'channel_name': 'Spider-Man', 'channel_link': 'https://www.youtube.com/c/spiderman'}",382K views,11 days ago,"The plan starts to come together as all three Spideys (Tobey Maguire, Andrew Garfield, Tom Holland) start to cure each of the ...",True,,Curing The Villains | Spider-Man: No Way Home,26_05_2022-12_20_01-Spiderman no way home-partho.csv
With great power comes great responsibility. Spider-Man: No Way Home,https://www.youtube.com/watch?v=mqX6roYTJd8,"{'channel_name': 'Forty Movie', 'channel_link': 'https://www.youtube.com/c/FortyMovie'}",52K views,1 month ago,Movie:Spider-Man: No Way Home Directed by: Jon Watts Cast Tom Holland as Peter Parker / Spider-Man: Zendaya as Michelle ...,True,4K,With great power comes great responsibility. Spider-Man: No Way Home,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man No Way Home Explained In HINDI | Spider-Man No Way Home Story In HINDI |Spider-Man (2021),https://www.youtube.com/watch?v=jPDPswDLhMs,"{'channel_name': 'Movies 24x7', 'channel_link': 'https://www.youtube.com/c/Movies24x7hindi'}",2.5M views,1 month ago,Spider-Man No Way Home Explained In HINDI | Spider-Man No Way Home Story In HINDI | Spider-Man No Way Home (2021) ...,True,,Spider-Man No Way Home Explained In HINDI | Spider-Man No Way Home Story In HINDI |Spider-Man (2021),26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man: No Way Home (2021) Explained In Hindi | Hitesh Nagar,https://www.youtube.com/watch?v=lu1ON6aN3eU,"{'channel_name': 'Hitesh Nagar', 'channel_link': 'https://www.youtube.com/channel/UCtIQBqqiTvvxoX9PyVVu0HQ'}",911K views,2 months ago,"Copyright Disclaimer"" Under Section 107 of the Copyright Act 1976, allowance is made for 'fair use' for purposes such as criticism, ...",True,CC,Spider-Man: No Way Home (2021) Explained In Hindi | Hitesh Nagar,26_05_2022-12_20_01-Spiderman no way home-partho.csv
"Spider-Man: No Way Home Cast on Tobey Maguire & Andrew Garfield Rumors, Villains & Fan Theories",https://www.youtube.com/watch?v=kBDIH6Qm4Yo,"{'channel_name': 'Jimmy Kimmel Live', 'channel_link': 'https://www.youtube.com/jkl'}",6.3M views,5 months ago,"Tom Holland, Zendaya, Benedict Cumberbatch & Jacob Batalon talk about the various villains in the movie and working with the ...",True,,"Spider-Man: No Way Home Cast on Tobey Maguire & Andrew Garfield Rumors, Villains & Fan Theories",26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man Full Movie 2021 Venom vs Spider-Man Easter Egg | Superhero FXL Movies 2021 All Cutscenes,https://www.youtube.com/watch?v=JXabQrTrzp8,"{'channel_name': 'Superhero FXL Games', 'channel_link': 'https://www.youtube.com/c/SuperheroFXLGames'}",18M views,11 months ago,"List of superheroes: Black Spiderman, Venom, the amazing spider-man, Black Cat, spider-man no way home suit, Spider Man ...",,,Spider-Man Full Movie 2021 Venom vs Spider-Man Easter Egg | Superhero FXL Movies 2021 All Cutscenes,26_05_2022-12_20_01-Spiderman no way home-partho.csv
SPIDER-MAN No Way Home (Pov Movie) | What do you want from me?,https://www.youtube.com/watch?v=D1_0DJLJQv4,"{'channel_name': 'FLAHO Junior', 'channel_link': 'https://www.youtube.com/user/mangnonbubbles'}",4.9M views,8 months ago,flaho #spiderman #nowayhome Pov Action Movie : Superheros vs Bad Guys Sincere THANK YOU VERY MUCH!,True,,SPIDER-MAN No Way Home (Pov Movie) | What do you want from me?,26_05_2022-12_20_01-Spiderman no way home-partho.csv
"I Explained Spider-Man: No Way Home (2021) Film, where Supervillains of Universes Unleashed हिन्दी",https://www.youtube.com/watch?v=npIj-snBnH8,"{'channel_name': 'Movies Insight Hindi', 'channel_link': 'https://www.youtube.com/channel/UCtxT50MzIRx0H2qdQYRoQeg'}",2M views,5 months ago,"I explained the Spider-Man: No Way Home (2021) Film in Hindi here, where Deadly Supervillain from many universes Unleashed.",True,CC,"I Explained Spider-Man: No Way Home (2021) Film, where Supervillains of Universes Unleashed हिन्दी",26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man No Way Home Trailer Breakdown In Bangla \ Spider-Man No Way Home Trailer in Bangla,https://www.youtube.com/watch?v=jRKGnS9cHpc,"{'channel_name': 'The BongWood', 'channel_link': 'https://www.youtube.com/c/TheBongWood'}",296K views,5 months ago,"হেই বন্ধুরা, আজ আমি এই ভিডিওতে স্পাইডারম্যান নো ওয়ে হোম মুভির ...",True,,Spider-Man No Way Home Trailer Breakdown In Bangla \ Spider-Man No Way Home Trailer in Bangla,26_05_2022-12_20_01-Spiderman no way home-partho.csv
Spider-Man No Way Home Ending Explained & Breakdown || ComicVerse,https://www.youtube.com/watch?v=15-TrPFreUY,"{'channel_name': 'ComicVerse', 'channel_link': 'https://www.youtube.com/c/ComicVerse'}",767K views,5 months ago,"ComicVerse #Comicverseclothing #Roadto800k Enjoyed The Video, Drop a 'Like' and Don't Forget To SHARE Explore ...",True,,Spider-Man No Way Home Ending Explained & Breakdown || ComicVerse,26_05_2022-12_20_01-Spiderman no way home-partho.csv
